Season,Episode,Title,Person1,Person2,Start,End,Duration,Location,Type,Queer,Transactional,NonConsentual,Notes
7,5,Minority Deport,Aleida Diaz,Cesar Velazquez,12:25,12:20,00:05,Outside,Kiss/Kissing,0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,52:02,51:34,00:28,Flashback,Penetrative sex (penis),0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,51:17,51:16,00:01,Flashback,Kiss/Kissing,0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,50:59,50:58,00:01,Flashback,Kiss/Kissing,0,0,0,
7,6,Trapped in an Elevator,Joe Caputo,Natalie Figueroa,45:45,45:18,00:27,Litchfield,Penetrative sex (penis),0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,40:00,39:58,00:02,Flashback,Kiss/Kissing,0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,39:49,39:47,00:02,Flashback,Kiss/Kissing,0,0,0,
7,6,Trapped in an Elevator,Manuel,Maria Ruiz,39:41,39:33,00:08,Flashback,Kiss/Kissing,0,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,45:33,45:29,00:04,Litchfield,Kiss/Kissing,1,0,0,
7,7,Me as Well,Piper Chapman,Unnamed Gym Man,34:07,33:35,00:32,Outside,Penetrative sex (penis),0,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,24:22,24:17,00:05,Litchfield,Kiss/Kissing,1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,24:10,24:08,00:02,Litchfield,Kiss/Kissing,1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,23:59,23:56,00:03,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,23:40,23:34,00:06,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,23:20,22:54,00:26,Litchfield,"Groping/Touching, Oral sex (vagina)",1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,22:43,22:29,00:14,Litchfield,Oral sex (vagina),1,0,0,
7,7,Me as Well,Piper Chapman,Unnamed NA Meeting Woman,21:17,21:10,00:07,Outside,Penetrative sex (hand),1,0,0,
7,7,Me as Well,Piper Chapman,Unnamed NA Meeting Woman,20:51,20:49,00:02,Outside,Oral sex (vagina),1,0,0,
7,7,Me as Well,Alex Vause,Artesian McCullough,08:03,07:59,00:04,Litchfield,Kiss/Kissing,1,0,0,
7,7,Me as Well,Nicky Nichols,Shani Abboud,05:52,05:43,00:09,Litchfield,Kiss/Kissing,1,0,0,
7,8,Baker's Dozen,Aleida Diaz,Rick Hopper,25:19,25:18,00:01,Litchfield,Groping/Touching,0,0,0,Potentially transactional
7,8,Baker's Dozen,Alex Vause,Artesian McCullough,05:41,05:39,00:02,Litchfield,Kiss/Kissing,1,0,0,
7,8,Baker's Dozen,Alex Vause,Artesian McCullough,05:34,05:22,00:12,Litchfield,Kiss/Kissing,1,0,0,
7,9,The Hidey Hole,Nicky Nichols,Shani Abboud,38:43,38:41,00:02,Litchfield,Kiss/Kissing,1,0,0,
7,9,The Hidey Hole,Nicky Nichols,Shani Abboud,38:22,38:18,00:04,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
7,9,The Hidey Hole,Nicky Nichols,Shani Abboud,37:44,37:41,00:03,Litchfield,Kiss/Kissing,1,0,0,
7,9,The Hidey Hole,Alex Vause,Artesian McCullough,34:52,34:51,00:01,Litchfield,Kiss/Kissing,1,0,0,
7,9,The Hidey Hole,Alex Vause,Artesian McCullough,34:48,34:33,00:15,Litchfield,"Groping/Touching, Kiss/Kissing",1,0,0,
7,9,The Hidey Hole,Joe Caputo,Natalie Figueroa,34:33,34:17,00:16,Outside,Hand/Finger stimulation (penis),0,0,0,
7,9,The Hidey Hole,Nicky Nichols,Shani Abboud,26:27,26:26,00:01,Litchfield,Kiss/Kissing,1,0,0,
7,9,The Hidey Hole,Nicky Nichols,Shani Abboud,05:30,05:22,00:08,Litchfield,Kiss/Kissing,1,0,0,
7,10,The Thirteenth,Nicky Nichols,Shani Abboud,53:32,53:30,00:02,Litchfield,Kiss/Kissing,1,0,0,
7,10,The Thirteenth,Nicky Nichols,Shani Abboud,53:14,52:55,00:19,Litchfield,"Kiss/Kissing, Hand/Finger stimulation (vagina)",1,0,0,
7,10,The Thirteenth,Nicky Nichols,Shani Abboud,52:18,52:13,00:05,Litchfield,Kiss/Kissing,1,0,0,
7,10,The Thirteenth,Galina 'Red' Reznikov,Nicky Nichols,24:42,24:41,00:01,Litchfield,Kiss/Kissing,1,0,0,
7,10,The Thirteenth,Alex Vause,Artesian McCullough,11:30,11:27,00:03,Litchfield,Kiss/Kissing,1,0,0,
7,11,God Bless America,Piper Chapman,Zelda,07:14,07:13,00:01,Outside,Kiss/Kissing,1,0,0,
7,11,God Bless America,Piper Chapman,Zelda,04:29,04:24,00:05,Outside,Kiss/Kissing,1,0,0,
7,12,The Big House,Piper Chapman,Zelda,62:48,62:32,00:16,Outside,Kiss/Kissing,1,0,0,
7,12,The Big House,Piper Chapman,Zelda,61:19,61:18,00:01,Outside,Kiss/Kissing,1,0,0,
7,12,The Big House,Aleida Diaz,Rick Hopper,45:29,44:52,00:37,Litchfield,Penetrative sex (penis),0,0,0,
7,12,The Big House,Lorna Morello,Nicky Nichols,18:19,18:18,00:01,Litchfield,Kiss/Kissing,1,0,0,
7,13,Here's Where We Get Off,Piper Chapman,Zelda,70:51,70:50,00:01,Outside,Kiss/Kissing,1,0,0,
7,13,Here's Where We Get Off,Blanca Flores,"Dario ""Diablo"" Zuniga",06:52,06:51,00:01,Outside,Kiss/Kissing,0,0,0,
7,13,Here's Where We Get Off,Galina 'Red' Reznikov,Lorna Morello,05:50,05:49,00:01,Litchfield,Kiss/Kissing,1,0,0,
